	x	y	theta	v	a	sigma	omega	t
109	6.506217206506324	-11.341821093503635	-0.4577594831026768	-0.47519011596374255	-1.0000000099808652	-0.7500000097623448	-3.219396839191651e-10	8.678098151067186
110	6.480897481284358	-11.329347043159789	-0.44836842335889915	-0.5345888791916329	-1.0000000099802793	-0.7500000097814676	-2.3789780050135525e-10	8.737496913698187
111	6.452282260845406	-11.315581852865634	-0.4378034811718571	-0.5939876424189996	-1.0000000099796567	-0.7500000097955984	-1.752170085991181e-10	8.79689567632919
112	6.420327761793719	-11.300623953389383	-0.42606465654158954	-0.6533864056459331	-1.000000009978994	-0.750000009806006	-1.2421544044346338e-10	8.856294438960191
113	6.384987092156827	-11.284584007246764	-0.41315194946813605	-0.7127851688724991	-1.000000009978287	-0.7500000098133842	-8.179214581764948e-11	8.915693201591193
114	6.346210906681558	-11.267585158657523	-0.3990653599515414	-0.7721839320987465	-1.0000000099775312	-0.7500000098182426	-4.435238887727028e-11	8.975091964222194
115	6.303948138340383	-11.249763289767962	-0.383804887991855	-0.8315826953247124	-1.0000000099767212	-0.750000009820877	-9.499968134124404e-12	9.034490726853196
116	6.25814680788442	-11.231267277043102	-0.36737053358913363	-0.8909814585504252	-1.000000009975851	-0.7500000098214413	2.477765038683313e-11	9.093889489484198
117	6.208754913197481	-11.212259241067747	-0.3497622967434434	-0.9503802217759068	-1.0000000099749136	-0.7500000098199695	6.031132889323774e-11	9.1532882521152
118	6.155721400050983	-11.19291478231669	-0.33098017745486336	-1.0097789850011736	-1.000000009973901	-0.7500000098163871	9.907399444823985e-11	9.212687014746201
119	6.098997215625196	-11.173423194763126	-0.31102417572348945	-1.0691777482262383	-1.0000000099728032	-0.7500000098105023	1.4338139163186955e-10	9.272085777377203
120	6.038536445840506	-11.153987648494931	-0.28989429154944013	-1.1285765114511104	-1.0000000099716098	-0.7500000098019856	1.9621401948939866e-10	9.331484540008205
121	5.974297537125897	-11.134825331805649	-0.2675905249328647	-1.1879752746757957	-1.0000000099703068	-0.7500000097903307	2.6141367472125886e-10	9.390883302639207
122	5.9062446027329445	-11.116167542526918	-0.24411287587395444	-1.2473740379002982	-1.0000000099688788	-0.750000009774803	0.4051603103977922	9.450282065270208
123	5.834348813075456	-11.098259717679209	-0.21946134437295892	-1.3067728011246191	-1.0000000099673114	-0.7259339886699813	0.5000000056777942	9.50968082790121
124	5.758589868829993	-11.081361389847018	-0.19485498631100848	-1.3661715643487577	-1.000000009965583	-0.6962346070172196	0.5000000076701382	9.569079590532212
125	5.678976649792798	-11.065648993429525	-0.17062995428017885	-1.4255703275727112	-1.0000000099636663	-0.6665352252461098	0.5000000083200763	9.628478353163214
126	5.595529217823137	-11.0512705495388	-0.14684082371989501	-1.484969090796474	-1.0000000099615276	-0.6368358434363899	0.5000000086325845	9.687877115794215
127	5.508273135450921	-11.038364902752258	-0.12354084574299745	-1.544367854020038	-1.0000000099591249	-0.6071364616081034	0.5000000088083312	9.747275878425217
128	5.417238740241452	-11.02706086930752	-0.10078224525411322	-1.603766617243392	-1.0000000099564048	-0.5774370797693749	0.5000000089138578	9.806674641056219
129	5.32246036799007	-11.017476420211747	-0.0786164841799002	-1.6631653804665205	-1.0000000099532989	-0.547737697924376	0.5000000089772981	9.86607340368722
130	5.223975533373087	-11.009717898197561	-0.057094496629034305	-1.7225641436894041	-1.0000000099497175	-0.5180383160756071	0.5000000090122817	9.925472166318222
131	5.121824076842674	-11.003879266606853	-0.036266901525018685	-1.7819629069120173	-1.0000000099455417	-0.48833893422475944	0.5000000090258679	9.984870928949224
132	5.016047286739735	-11.000041387390098	-0.01618419726909879	-1.8413616701343274	-1.0000000099406083	-0.4586395523731043	0.5000000090216776	10.044269691580226
133	4.906687005813028	-10.998271324484422	0.0031030577756170964	-1.9007604333562915	-1.0000000099346902	-0.4289401705216982	0.5000000090012593	10.103668454211228
134	4.793784731581197	-10.998621667888928	0.02154407578464648	-1.960159196577853	-1.0000000099274584	-0.3992407886715055	0.5000000089646943	10.16306721684223
135	4.677380720267294	-11.001129872801151	0.03908767822802294	-2.0195579597989357	-1.0000000099184194	-0.36954140682348563	0.5000000089108151	10.222465979473231
136	4.557513104386581	-11.005817607223598	0.055682140513318455	-2.078956723019433	-1.000000009906799	-0.3398420249786675	0.5000000088371728	10.281864742104233
137	4.4342170344954255	-11.012690100504196	0.07127504042536836	-2.138355486239194	-1.0000000098913049	-0.31014264313822526	0.5000000087397873	10.341263504735235
138	4.307523856132911	-11.021735484349843	0.08581310848276535	-2.197754249457989	-1.000000009869613	-0.28044326130356945	0.5000000086126375	10.400662267366236
139	4.177460333632176	-11.032924116959817	0.09924207848617464	-2.2571530126754507	-1.0000000098370736	-0.2507438794764682	0.500000008446773	10.460061029997238
140	4.044047933274189	-11.046207880079393	0.11150653664183414	-2.3165517758909355	-1.0000000097828392	-0.2210444976592212	0.5000000082288069	10.51945979262824
141	3.907302179235504	-11.061519437989698	0.12254976771174309	-2.3759505391031555	-1.0000000096743658	-0.19134511585492336	0.5000000079383188	10.578858555259242
142	3.7672320969808433	-11.078771446747693	0.1323135966746586	-2.4353493023088886	-1.0000000093489327	-0.16164573406788238	0.5000000075432357	10.638257317890243
143	3.6238397602131522	-11.097855701394662	0.14073822438225989	-2.4947480654952487	-0.0884186678892013	-0.13194635230431098	0.5000000069912401	10.697656080521245
144	3.4771199592654582	-11.118642208393943	0.1477620556645732	-2.500000024961349	-3.1563595889709256e-13	-0.10224697057352954	0.5000000062123439	10.757054843152247
145	3.3302412166950774	-11.140504657584966	0.1532036600855175	-2.5000000249613676	-2.7323681507581274e-13	-0.07254758888901547	0.5000000050756787	10.816453605783249
146	3.183483614949911	-11.163166035162101	0.15705795746249393	-2.5000000249613836	-2.292527918951985e-13	-0.0428482072720196	0.5000000033401368	10.87585236841425
147	3.036814446762011	-11.186392890454119	0.15933178715578655	-2.5000000249613974	-1.836820326918167e-13	-0.013148825758114236	0.5000000005268138	10.935251131045252
148	2.89019847160359	-11.209953186123572	0.16002917019310933	-2.500000024961408	-1.371465868464208e-13	0.016550555588681983	0.4999999955936022	10.994649893676254
149	2.7435989626472224	-11.233615723549619	0.15915133777812965	-2.5000000249614165	-1.0654645661092081e-13	0.04624993664245052	0.4999999858588218	11.054048656307256
150	2.596978738435185	-11.25714956207416	0.1566967400005737	-2.5000000249614223	-7.3238971948293e-14	0.07594931711798439	0.49999996260863483	11.113447418938257
